# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,48,25
# x,y,z,u,w
3.795441109194667290e-02, 2.944178851063833924e-01, -1.003686669415049595e-02, 1.085106382978723305e+00, 2.483789085618058612e-01
2.811689082300834405e-02, 2.944178851063833924e-01, -8.545221658997043113e-03, 1.085106382978723305e+00, 4.370901933198670375e-01
1.469676681334097790e-02, 2.944178851063833369e-01, -6.338445788990875948e-03, 1.085106382978723305e+00, 6.949315309392636308e-01
-1.138626151495846471e-03, 2.944178851063833924e-01, -3.439384301931449218e-03, 1.085106382978723305e+00, 1.000000000000000000e+00
-1.688963501531566894e-02, 2.944178851063833924e-01, -8.316934711569191918e-05, 1.085106382978723305e+00, 1.305068469060736591e+00
-3.005935949048519490e-02, 2.944178851063834479e-01, 3.345781145113041737e-03, 1.085106382978723305e+00, 1.562909806680132796e+00
-3.954062641620868096e-02, 2.944178851063833924e-01, 6.355856906590522278e-03, 1.085106382978723305e+00, 1.751621091438194222e+00
-4.571570362765839390e-02, 2.944178851063834479e-01, 8.487769783682180824e-03, 1.085106382978723305e+00, 1.875680585274343448e+00
-4.934083882691400053e-02, 2.944178851063833924e-01, 1.010314234991719490e-02, 1.085106382978723305e+00, 1.951584046726686061e+00
-5.073860068457919370e-02, 2.944178851063833924e-01, 1.169953471227908569e-02, 1.085106382978723305e+00, 2.000000000000000000e+00
